Nom,Description,Langage,URL,Readme Présent,Dernière mise à jour
Automation,Collection of programs from Automate the Boring stuff with python,Jupyter Notebook,https://github.com/Punkyherisson/Automation,Oui,2025-08-16
bookbot,1st project from Bootdev: Build your first local command-line application in Python and use the real tools that developers use every day.,Python,https://github.com/Punkyherisson/bookbot,Oui,2025-09-24
BookbotDocker,,Python,https://github.com/Punkyherisson/BookbotDocker,Non,2025-01-23
BootdevAsteroid,Build Asteroids using Python and Pygame (Bootdev project),Python,https://github.com/Punkyherisson/BootdevAsteroid,Non,2025-09-23
BootdevGoServer,,Go,https://github.com/Punkyherisson/BootdevGoServer,Oui,2025-01-23
BootDevMazeSolver,BootDevMaze Python Project,Python,https://github.com/Punkyherisson/BootDevMazeSolver,Oui,2025-02-08
BootdevStaticSiteGenerator,,Python,https://github.com/Punkyherisson/BootdevStaticSiteGenerator,Oui,2025-09-27
BoulangerieChatGPT,Simulation Boulangerie en Python en utilisant Chat GPT,Python,https://github.com/Punkyherisson/BoulangerieChatGPT,Oui,2025-05-01
Calcul_IRPP2025,Calcul de l'impot sur le revenu 2025 en Python,Python,https://github.com/Punkyherisson/Calcul_IRPP2025,Oui,2025-09-20
ChatGPTPythonSQL,,Python,https://github.com/Punkyherisson/ChatGPTPythonSQL,Oui,2025-12-27
DonjonCollab,Donjon NoteBook Collab,Jupyter Notebook,https://github.com/Punkyherisson/DonjonCollab,Non,2025-08-27
GarminConnect,Test pour lire les donnés de ma fenix,Python,https://github.com/Punkyherisson/GarminConnect,Non,2025-08-29
JaponaisAvecReplitEtPython,"Une suite d'outils Python pour apprendre et pratiquer le japonais. Ce projet rassemble plusieurs bibliothèques pour la conversion de caractères, la lecture des kanji, la traduction et l'utilisation d'un dictionnaire japonais-anglais.",Python,https://github.com/Punkyherisson/JaponaisAvecReplitEtPython,Oui,2025-12-25
JavascriptDOM,,,https://github.com/Punkyherisson/JavascriptDOM,Non,2025-06-05
JeuDeLangues,,Python,https://github.com/Punkyherisson/JeuDeLangues,Oui,2025-10-19
JeuGrammaireEspagnole,Jeu de Grammaire Espagnole en Python,Jupyter Notebook,https://github.com/Punkyherisson/JeuGrammaireEspagnole,Oui,2024-12-25
LaFormePasLesFormes,Application Python dietetique et sport,Python,https://github.com/Punkyherisson/LaFormePasLesFormes,Non,2025-12-22
learn-cicd-starter,"The starter code for the ""Learn CICD"" course on Boot.dev",Go,https://github.com/Punkyherisson/learn-cicd-starter,Oui,2025-01-28
LearnDockerHub,,Go,https://github.com/Punkyherisson/LearnDockerHub,Non,2025-01-24
LearnGitGithub,Approfondir Git et Githubs,Python,https://github.com/Punkyherisson/LearnGitGithub,Oui,2025-12-31
LearningAI,"A collection of using different AIs, mostly with free accounts",,https://github.com/Punkyherisson/LearningAI,Oui,2025-09-21
LearnReplit,Collection Of sources to learn Replit,Python,https://github.com/Punkyherisson/LearnReplit,Oui,2025-09-25
MaBoulangerie,Jeu de gestion de Boulangerie,Python,https://github.com/Punkyherisson/MaBoulangerie,Oui,2025-10-24
MaTodolist,Simple DailyTo do list with Log in a textfile ,Python,https://github.com/Punkyherisson/MaTodolist,Non,2025-08-18
megacorp,The starter repo for the Git 2 course on Boot.dev,Shell,https://github.com/Punkyherisson/megacorp,Oui,2025-02-09
MultiLanguageMatch,Multi Language Match Game,Python,https://github.com/Punkyherisson/MultiLanguageMatch,Non,2025-10-25
MyJapaneseGames,Noter ma progression sur des jeux pour apprendre le japonais et faire des petits jeux.,,https://github.com/Punkyherisson/MyJapaneseGames,Oui,2025-12-30
NewMammothCourses,Study Tech Courses on the new platform,Python,https://github.com/Punkyherisson/NewMammothCourses,Oui,2025-10-09
numpy-100,100 numpy exercises (with solutions),,https://github.com/Punkyherisson/numpy-100,Oui,2024-02-29
Packtlearning,Collection of Packt tutorials,Python,https://github.com/Punkyherisson/Packtlearning,Non,2025-10-07
